"REG";"DEP";"DEPCOM";"DCIRIS";"AN";"TYPEQU";"LAMBERT_X";"LAMBERT_Y";"QUALITE_XY"
11;"78";"78242";"78242_0105";2019;"E108";629587.825;6856763.72;"Bonne"
11;"78";"78165";"78165_0102";2019;"E108";626072.623;6858671.18;"Bonne"
11;"78";"78490";"78490_0102";2019;"E108";622420.933;6859644.11;"Bonne"
11;"78";"78265";"78265";2019;"E108";609275.973;6857415.14;"Bonne"
11;"78";"78465";"78465";2019;"E108";604709.291;6859313.29;"Bonne"
11;"78";"78605";"78605";2019;"E108";602306.744;6859659.1;"Bonne"
11;"78";"78310";"78310";2019;"E108";597371.349;6856014.47;"Bonne"
11;"78";"78322";"78322_0101";2019;"E108";637321.12;6852750.47;"Bonne"
11;"78";"78322";"78322_0102";2019;"E108";638515.882;6851958.67;"Bonne"
11;"78";"78322";"78322_0101";2019;"E108";640622.932;6851309.72;"Bonne"
11;"91";"91064";"91064";2019;"E108";642328.329;6850414.9;"Bonne"
11;"91";"91312";"91312_0102";2019;"E108";643462.608;6849146.3;"Bonne"
11;"91";"91377";"91377_0114";2019;"E108";645327.89;6847425.6;"Bonne"
11;"91";"91345";"91345_0101";2019;"E108";648297.478;6844872.94;"Bonne"
11;"78";"78490";"78490_0110";2019;"E108";623842.468;6859494.03;"Bonne"
11;"91";"91161";"91161_0105";2019;"E108";649185.259;6844647.19;"Bonne"
11;"91";"91345";"91345_0108";2019;"E108";649766.677;6843114.47;"Bonne"
11;"91";"91216";"91216_0105";2019;"E108";650733.684;6842122.24;"Bonne"
11;"91";"91377";"91377_0114";2019;"E107";645935.713;6847865.33;"Bonne"
11;"78";"78621";"78621_0101";2019;"E108";626996.497;6853199.65;"Bonne"
11;"78";"78423";"78423_0103";2019;"E108";629753.333;6854540;"Bonne"
11;"78";"78455";"78455_0102";2019;"E108";631129.935;6860569.36;"Bonne"
11;"78";"78683";"78683";2019;"E108";617589.095;6857862.6;"Bonne"
11;"78";"78389";"78389";2019;"E108";613032.405;6856507.99;"Bonne"
11;"78";"78531";"78531";2019;"E108";599712.183;6878407.98;"Bonne"
11;"78";"78089";"78089";2019;"E108";596274.915;6883027.97;"Bonne"
11;"94";"94081";"94081_0101";2019;"E108";656594.689;6853959.06;"Bonne"
11;"91";"91200";"91200_0104";2019;"E108";625950.316;6826617.53;"Bonne"
11;"91";"91016";"91016";2019;"E109";626124.643;6801724.83;"Bonne"
11;"75";"75116";"75116_6211";2019;"E108";646793.616;6862146.87;"Bonne"
11;"75";"75116";"75116_6204";2019;"E108";647142.15;6861744.47;"Bonne"
11;"91";"91414";"91414";2019;"E109";628291.673;6805791.52;"Bonne"
11;"91";"91294";"91294";2019;"E109";630450.331;6808743.37;"Bonne"
11;"91";"91223";"91223_0104";2019;"E108";637796.851;6815506.93;"Bonne"
11;"91";"91226";"91226";2019;"E108";640483.145;6821790.84;"Bonne"
11;"91";"91132";"91132";2019;"E108";642103.65;6824111.28;"Bonne"
11;"91";"91330";"91330";2019;"E108";644998.419;6824764.71;"Bonne"
11;"91";"91330";"91330";2019;"E108";647604.987;6826125.87;"Bonne"
11;"91";"91376";"91376";2019;"E108";647679.842;6829692.65;"Bonne"
11;"91";"91103";"91103_0104";2019;"E108";648534.579;6834232.04;"Bonne"
11;"91";"91570";"91570_0104";2019;"E108";648929.39;6837464.91;"Bonne"
11;"91";"91549";"91549_0101";2019;"E108";649415.114;6839427.42;"Bonne"
11;"91";"91216";"91216_0105";2019;"E108";650828.462;6841227.54;"Bonne"
11;"91";"91589";"91589_0104";2019;"E108";652273.292;6841947.07;"Bonne"
11;"91";"91326";"91326_0102";2019;"E108";654646.841;6843456.7;"Bonne"
11;"91";"91027";"91027_0103";2019;"E108";656082.388;6845967.42;"Bonne"
11;"94";"94001";"94001";2019;"E108";657259.724;6847377.35;"Bonne"
11;"94";"94077";"94077_0103";2019;"E108";657819.41;6848982.12;"Bonne"
11;"94";"94022";"94022_0103";2019;"E108";656719.695;6851705.42;"Bonne"
11;"94";"94081";"94081_0311";2019;"E108";656101.683;6855807.45;"Bonne"
11;"94";"94041";"94041_0110";2019;"E108";655329.397;6857296.66;"Bonne"
11;"91";"91223";"91223_0108";2019;"E108";636762.191;6814497.57;"Bonne"
11;"91";"91457";"91457";2019;"E108";645972.599;6832655.44;"Bonne"
11;"91";"91021";"91021_0104";2019;"E108";643983.538;6832039.43;"Bonne"
11;"91";"91207";"91207";2019;"E108";642631.284;6831637.91;"Bonne"
11;"91";"91105";"91105_0103";2019;"E108";640459.091;6831147.2;"Bonne"
11;"91";"91105";"91105_0103";2019;"E108";638857.308;6829719.64;"Bonne"
11;"91";"91540";"91540";2019;"E108";635444.872;6828215.59;"Bonne"
11;"91";"91593";"91593";2019;"E108";631256.435;6826545.87;"Bonne"
11;"91";"91200";"91200_0104";2019;"E108";626923.4;6826380.68;"Bonne"
11;"94";"94073";"94073_0104";2019;"E108";653779.748;6849897.92;"Bonne"
11;"94";"94054";"94054_0105";2019;"E108";656016.834;6849357.96;"Bonne"
11;"94";"94054";"94054_0103";2019;"E108";657138.112;6849537.49;"Bonne"
11;"94";"94065";"94065_0102";2019;"E108";652378.616;6849133.16;"Bonne"
11;"92";"92002";"92002_0202";2019;"E108";649506.982;6849990.22;"Bonne"
11;"75";"75113";"75113_4908";2019;"E107";653514.287;6860290.75;"Bonne"
11;"75";"75107";"75107_2604";2019;"E108";650558.108;6862494.15;"Bonne"
11;"75";"75105";"75105_2003";2019;"E108";651973.456;6861683.28;"Bonne"
11;"94";"94028";"94028_0215";2019;"E109";658490.606;6852548.64;"Bonne"
11;"75";"75119";"75119_7409";2019;"E108";654063.329;6866463.63;"Bonne"
11;"91";"91174";"91174_0503";2019;"E108";661225.756;6835067.53;"Bonne"
11;"94";"94046";"94046_0102";2019;"E108";657907.862;6855930.93;"Bonne"
11;"94";"94002";"94002_0108";2019;"E108";658281.419;6854395.79;"Bonne"
11;"91";"91657";"91657_0106";2019;"E108";656867.603;6845489.01;"Bonne"
